收款时间,收款项,金额,单位,留言,昵称
2026/01/14 15:58:04,任意打赏,88.00,¥,能力有限，不成敬意,wutay
2026/02/16 21:34:33,任意打赏,66.00,¥,新年快乐,Jack
2026/02/16 12:14:32,两杯咖啡☕,50.00,¥,感谢作者，新年快乐！,红殇
2026/02/14 18:01:55,两杯咖啡☕,50.00,¥,感谢开发这么棒的插件，解决了同步问题,Jacky龙
2026/02/04 10:41:49,两杯咖啡☕,50.00,¥,同步功能很好用，希望继续迭代完善，以笔记安全为主,咕咕咕
2026/01/31 16:59:55,两杯咖啡☕,50.00,¥,好好开发，确实解决了 Obsidian 最大的一个痛点！,vulnnull
2026/01/21 09:37:19,两杯咖啡☕,50.00,¥,谢谢你的Obsidian同步很好用👍🏻,Mojo抖音
2026/01/09 16:34:10,两杯咖啡☕,50.00,¥,谢谢男菩萨的 OB 插件造福世人(^🙏^)，小小心意不成敬意。,喆
2026/02/15 09:25:17,一杯咖啡☕,20.00,¥,支持，加油~，很实用，强需求的功能。在AI时代大有用处,sfsun67
2026/02/10 23:21:38,一杯咖啡☕,20.00,¥,感谢大佬做的同步插件，非常好用，请大佬先喝一杯咖啡，后续还会再继续打赏的,toby
2026/02/10 11:41:36,一杯咖啡☕,20.00,¥,大佬的同步插件非常棒，我会一直持续支持的,WONG
2026/02/08 22:02:32,一杯咖啡☕,20.00,¥,非常好用，感谢,小迪
2026/02/06 08:42:49,一杯咖啡☕,20.00,¥,加油💪web端的图片编辑功能整一下呗,Max
2026/01/28 10:48:02,一杯咖啡☕,20.00,¥,加油,通
2026/01/26 17:21:27,一杯咖啡☕,20.00,¥,😘,CloseCV
2026/01/16 11:47:13,一杯咖啡☕,20.00,¥,很好用，期待后续的开发与优化。感谢。,苏
2026/01/15 14:51:11,一杯咖啡☕,20.00,¥,非常好用感谢！,灰风
2026/01/09 18:12:17,一杯咖啡☕,20.00,¥,插件思路太对了,xix
2026/01/03 22:44:43,一杯咖啡☕,20.00,¥,希望越来越好👌🏻,姚朝伟
2026/01/03 14:58:43,一杯咖啡☕,20.00,¥,很棒的同步方案，未来可期！非常感谢开源！加油！,roao
2026/02/20 10:37:02,任意打赏,10.00,¥,感谢做了这么便捷的同步软件,羽山猫四叶
2026/01/28 12:03:03,任意打赏,9.90,¥,牛🐮,华星
2026/01/28 02:52:15,任意打赏,8.88,¥,感谢分享,obsidian
2026/02/01 23:44:27,任意打赏,6.66,¥,爱你,爱你
2026/01/09 22:22:25,任意打赏,6.66,¥,老哥写的插件很棒，继续努力吧！,kane
2026/02/14 02:32:50,任意打赏,5.00,¥,感谢开发这么好用的插件,支持开源精神
2026/02/13 02:13:10,任意打赏,5.00,¥,打赏,xxx
2026/02/11 17:07:02,任意打赏,5.00,¥,加油,Acckion
2026/01/11 14:20:34,任意打赏,5.00,¥,很好用，希望能把 git 做出来,安宁
2026/01/08 15:18:06,任意打赏,1.00,¥,从发现部署到使用，好多年了，从未有过的流畅丝滑的感觉，真的太好了！[强][强][强],用户
